TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;77,64;0,700000;9,02;106,92;0,73;56.281,57;1,83;1,47;8,44;503.496.718,25;15.558,00;Passiva;4.709.082,00
AFHI11;93,61;0,930000;12,22;94,88;0,99;1.116.628,33;4,69;-8,71;0,06;432.224.228,96;42.539,00;Ativa;4.555.618,00
AIEC11;42,50;0,620000;20,42;84,94;0,50;649.174,57;4,35;-1,13;-13,75;409.856.001,38;18.874,00;Ativa;4.824.987,00
AJFI11;7,27;0,070000;11,58;12,25;0,59;469.095,52;5,40;;;387.514.867,40;13.191,00;Ativa;31.625.978,00
ALMI11;575,00;5,000000;2,48;2.172,28;0,26;23.137,29;4,28;;-16,87;241.507.669,88;2.092,00;Passiva;111.177,00
ALZC11;91,24;1,250000;9,05;63,81;1,43;510.096,33;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
ALZM11;6,93;0,085000;15,21;7,94;0,87;117.240,48;8,33;-4,82;-55,28;120.540.353,60;12.138,00;Ativa;15.180.540,00
ALZR11;100,34;0,775000;9,15;105,35;0,95;1.933.653,62;14,75;-13,15;0,46;1.288.080.789,12;154.533,00;Ativa;12.226.625,00
ANCR11B;3.221,00;1,570972;1,37;108,69;29,63;3.221,00;1,61;;;2.905.722.882,79;139,00;Ativa;26.735.046,00
APTO11;9,01;0,090000;11,99;9,89;0,91;49.133,71;4,82;;;45.623.457,79;9.226,00;Ativa;4.612.227,00
APXM11;100,47;0,473638;7,04;97,67;1,03;166.869,71;0,67;;;241.689.923,79;535,00;;2.474.535,00
APXR11;100,00;;0,00;79,67;1,26;14,29;0,11;;;8.728.918,75;130,00;;109.567,00
APXU11;0,00;;0,00;88,75;;;94,72;;;9.011.812,87;40,00;Ativa;101.542,00
AQLL11;385,03;;0,00;939,49;0,41;;0,06;;;136.994.582,70;84,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;63,81;7,52;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
AROA11;1,04;0,006200;7,02;0,99;1,05;7.761,57;1,44;;;165.793.201,12;3.865,00;Ativa;167.926.832,00
ARRI11;8,56;0,090000;13,90;8,60;1,00;463.678,71;3,88;-9,31;-1,33;168.951.920,31;26.287,00;Ativa;19.646.886,00
ARXD11;8,45;0,100000;14,56;95,91;0,09;148.013,81;4,37;;;86.427.918,96;1.310,00;Ativa;901.117,00
ASMT11;35,01;0,770000;0,00;91,53;0,38;1.156,57;4,06;;-30,44;98.964.564,68;446,00;Ativa;1.081.257,00
ASRF11;10.942,00;256,328699;0,00;9.609,10;1,14;68.679,18;9,49;;;28.269.972,99;68,00;Ativa;2.942,00
ATCR11;0,00;0,228494;0,00;73,84;;;1,10;;;68.591.012,89;33,00;Ativa;928.908,00
ATSA11;51,05;0,500000;2,39;76,69;0,67;1.380,67;1,32;17,56;-19,30;134.299.450,74;287,00;Passiva;1.751.141,00
