TICKER;PRECO;ULTDIV;DY;VPC;PVP;LIQD;CAIXA;CAGRDIV;CAGRVLR;PATRIMONIO;NCOTISTAS;GESTAO;NCOTA
ABCP11;77.64;0.7;9.02;106.92;0.73;56281.57;1.83;1.47;8.44;503496718.25;15558.0;Passiva;4709082.0
AFHI11;93.61;0.93;12.22;94.88;0.99;1116628.33;4.69;-8.71;0.06;432224228.96;42539.0;Ativa;4555618.0
AIEC11;42.5;0.62;20.42;84.94;0.5;649174.57;4.35;-1.13;-13.75;409856001.38;18874.0;Ativa;4824987.0
AJFI11;7.27;0.07;11.58;12.25;0.59;469095.52;5.4;;;387514867.4;13191.0;Ativa;31625978.0
ALMI11;575.0;5.0;2.48;2172.28;0.26;23137.29;4.28;;-16.87;241507669.88;2092.0;Passiva;111177.0
ALZC11;91.24;1.25;9.05;63.81;1.43;510096.33;3.5;;;118155565.38;8102.0;;1851786.0
ALZM11;6.93;0.085;15.21;7.94;0.87;117240.48;8.33;-4.82;-55.28;120540353.6;12138.0;Ativa;15180540.0
ALZR11;100.34;0.775;9.15;105.35;0.95;1933653.62;14.75;-13.15;0.46;1288080789.12;154533.0;Ativa;12226625.0
ANCR11B;3221.0;1.570972;1.37;108.69;29.63;3221.0;1.61;;;2905722882.79;139.0;Ativa;26735046.0
APTO11;9.01;0.09;11.99;9.89;0.91;49133.71;4.82;;;45623457.79;9226.0;Ativa;4612227.0
APXM11;100.47;0.473638;7.04;97.67;1.03;166869.71;0.67;;;241689923.79;535.0;;2474535.0
APXR11;100.0;;0.0;79.67;1.26;14.29;0.11;;;8728918.75;130.0;;109567.0
APXU11;0.0;;0.0;88.75;;;94.72;;;9011812.87;40.0;Ativa;101542.0
AQLL11;385.03;;0.0;939.49;0.41;;0.06;;;136994582.7;84.0;Ativa;145817.0
ARFI11B;479.99;;0.0;63.81;7.52;;3.5;;;118155565.38;8102.0;;1851786.0
AROA11;1.04;0.0062;7.02;0.99;1.05;7761.57;1.44;;;165793201.12;3865.0;Ativa;167926832.0
ARRI11;8.56;0.09;13.9;8.6;1.0;463678.71;3.88;-9.31;-1.33;168951920.31;26287.0;Ativa;19646886.0
ARXD11;8.45;0.1;14.56;95.91;0.09;148013.81;4.37;;;86427918.96;1310.0;Ativa;901117.0
ASMT11;35.01;0.77;0.0;91.53;0.38;1156.57;4.06;;-30.44;98964564.68;446.0;Ativa;1081257.0
